2,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
335,0,201902ロッテルダム,エルネスト・グルビス,1.0,1,圭,○,1,w,,,0,0,Deuce,1,0
336,1,201902ロッテルダム,エルネスト・グルビス,1.0,1,圭,○,1,c,,,15,0,Ad,1,0
337,2,201902ロッテルダム,エルネスト・グルビス,1.0,1,圭,○,1,b,,,30,0,Deuce,1,0
338,3,201902ロッテルダム,エルネスト・グルビス,1.0,1,圭,○,2,w,,,40,0,Ad,1,0
339,8,201902ロッテルダム,エルネスト・グルビス,1.0,2,具,○,1,w,,,0,0,Deuce,1,0
340,9,201902ロッテルダム,エルネスト・グルビス,1.0,2,具,○,1,w,,,15,0,Ad,1,0
341,10,201902ロッテルダム,エルネスト・グルビス,1.0,2,具,○,1,w,,,30,0,Deuce,1,0
342,11,201902ロッテルダム,エルネスト・グルビス,1.0,2,具,○,1,w,,,40,0,Ad,1,0
343,20,201902ロッテルダム,エルネスト・グルビス,1.0,3,圭,○,2,c,,,0,0,Deuce,1,0
344,21,201902ロッテルダム,エルネスト・グルビス,1.0,3,圭,○,1,w,,,15,0,Ad,1,0
345,22,201902ロッテルダム,エルネスト・グルビス,1.0,3,圭,○,1,w,160,,30,0,Deuce,1,0
346,23,201902ロッテルダム,エルネスト・グルビス,1.0,3,圭,○,1,w,144,,40,0,Ad,1,0
347,36,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,○,1,w,202,,0,0,Deuce,1,0
348,37,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,○,1,c,,,15,0,Ad,1,0
349,38,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,×,2,b,160,,30,0,Deuce,0,1
350,39,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,×,1,c,204,Ac,30,15,Ad,0,1
351,40,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,○,1,w,207,,30,30,Deuce,1,0
352,41,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,×,1,w,214,,40,30,Ad,0,1
353,42,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,×,2,w,162,,40,40,Deuce,0,1
354,43,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,○,1,w,,,40,Ad,Ad,1,0
355,45,201902ロッテルダム,エルネスト・グルビス,1.0,4,具,○,1,c,,,Ad,40,Ad,1,0
356,68,201902ロッテルダム,エルネスト・グルビス,1.0,5,圭,○,1,?,,,0,0,Deuce,1,0
357,69,201902ロッテルダム,エルネスト・グルビス,1.0,5,圭,○,2,b,156,,15,0,Ad,1,0
358,70,201902ロッテルダム,エルネスト・グルビス,1.0,5,圭,○,1,b,181,,30,0,Deuce,1,0
359,71,201902ロッテルダム,エルネスト・グルビス,1.0,5,圭,○,1,c,189,,40,0,Ad,1,0
360,98,201902ロッテルダム,エルネスト・グルビス,1.0,6,具,×,1,w,,,0,0,Deuce,0,1
361,99,201902ロッテルダム,エルネスト・グルビス,1.0,6,具,×,2,c,168,,0,15,Ad,0,1
362,100,201902ロッテルダム,エルネスト・グルビス,1.0,6,具,×,1,w,202,,0,30,Deuce,0,1
363,101,201902ロッテルダム,エルネスト・グルビス,1.0,6,具,×,1,w,209,,0,40,Ad,0,1
364,132,201902ロッテルダム,エルネスト・グルビス,1.0,7,圭,○,1,c,191,,0,0,Deuce,1,0
365,133,201902ロッテルダム,エルネスト・グルビス,1.0,7,圭,○,1,c,,,15,0,Ad,1,0
366,134,201902ロッテルダム,エルネスト・グルビス,1.0,7,圭,×,2,c,158,,30,0,Deuce,0,1
367,135,201902ロッテルダム,エルネスト・グルビス,1.0,7,圭,○,1,b,182,,30,15,Ad,1,0
368,136,201902ロッテルダム,エルネスト・グルビス,1.0,7,圭,×,1,c,169,,40,15,Deuce,0,1
369,137,201902ロッテルダム,エルネスト・グルビス,1.0,7,圭,○,1,w,170,,40,30,Ad,1,0
370,0,201902ロッテルダム,エルネスト・グルビス,2.0,1,具,○,1,w,,,0,0,Deuce,1,0
371,1,201902ロッテルダム,エルネスト・グルビス,2.0,1,具,×,2,c,153,,15,0,Ad,0,1
372,2,201902ロッテルダム,エルネスト・グルビス,2.0,1,具,○,1,c,211,,15,15,Deuce,1,0
373,3,201902ロッテルダム,エルネスト・グルビス,2.0,1,具,○,1,w,,,30,15,Ad,1,0
374,4,201902ロッテルダム,エルネスト・グルビス,2.0,1,具,○,2,w,161,,40,15,Deuce,1,0
375,5,201902ロッテルダム,エルネスト・グルビス,2.0,2,圭,○,1,w,,,0,0,Deuce,1,0
376,6,201902ロッテルダム,エルネスト・グルビス,2.0,2,圭,○,2,c,149,,15,0,Ad,1,0
377,7,201902ロッテルダム,エルネスト・グルビス,2.0,2,圭,×,1,w,187,,30,0,Deuce,0,1
378,8,201902ロッテルダム,エルネスト・グルビス,2.0,2,圭,×,1,c,192,,30,15,Ad,0,1
379,9,201902ロッテルダム,エルネスト・グルビス,2.0,2,圭,○,1,w,184,,30,30,Deuce,1,0
