2,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201902ロッテルダム,P・H・エルベール,1.0,1,得,×,2,b,150,,0,0,Deuce,0,1
1,1,201902ロッテルダム,P・H・エルベール,1.0,1,得,×,1,w,204,,0,15,Ad,0,1
2,2,201902ロッテルダム,P・H・エルベール,1.0,1,得,○,2,o,,Do,0,30,Deuce,1,0
3,3,201902ロッテルダム,P・H・エルベール,1.0,1,得,×,1,w,,Aw,15,30,Ad,0,1
4,4,201902ロッテルダム,P・H・エルベール,1.0,1,得,×,1,w,188,,15,40,Deuce,0,1
5,5,201902ロッテルダム,P・H・エルベール,1.0,2,圭,○,1,w,168,,0,0,Deuce,1,0
6,6,201902ロッテルダム,P・H・エルベール,1.0,2,圭,○,2,w,148,,15,0,Ad,1,0
7,7,201902ロッテルダム,P・H・エルベール,1.0,2,圭,○,1,c,168,,30,0,Deuce,1,0
8,8,201902ロッテルダム,P・H・エルベール,1.0,2,圭,○,1,b,184,,40,0,Ad,1,0
9,9,201902ロッテルダム,P・H・エルベール,1.0,3,得,○,2,c,168,,0,0,Deuce,1,0
10,10,201902ロッテルダム,P・H・エルベール,1.0,3,得,×,2,c,161,,15,0,Ad,0,1
11,11,201902ロッテルダム,P・H・エルベール,1.0,3,得,×,2,w,152,,15,15,Deuce,0,1
12,12,201902ロッテルダム,P・H・エルベール,1.0,3,得,○,1,c,204,,15,30,Ad,1,0
13,13,201902ロッテルダム,P・H・エルベール,1.0,3,得,×,1,c,194,,30,30,Deuce,0,1
14,14,201902ロッテルダム,P・H・エルベール,1.0,3,得,×,1,w,159,,30,40,Ad,0,1
15,30,201902ロッテルダム,P・H・エルベール,1.0,4,圭,×,1,c,173,,0,0,Deuce,0,1
16,31,201902ロッテルダム,P・H・エルベール,1.0,4,圭,○,1,w,183,,0,15,Ad,1,0
17,32,201902ロッテルダム,P・H・エルベール,1.0,4,圭,○,1,c,177,,15,15,Deuce,1,0
18,33,201902ロッテルダム,P・H・エルベール,1.0,4,圭,×,1,c,184,,30,15,Ad,0,1
19,34,201902ロッテルダム,P・H・エルベール,1.0,4,圭,○,1,w,165,,30,30,Deuce,1,0
20,35,201902ロッテルダム,P・H・エルベール,1.0,4,圭,○,1,w,144,,40,30,Ad,1,0
21,57,201902ロッテルダム,P・H・エルベール,1.0,5,得,×,2,c,152,,0,0,Deuce,0,1
22,58,201902ロッテルダム,P・H・エルベール,1.0,5,得,×,2,w,147,,0,15,Ad,0,1
23,59,201902ロッテルダム,P・H・エルベール,1.0,5,得,○,2,b,166,,0,30,Deuce,1,0
