2,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
164,0,201902ロッテルダム,スタン・ワウリンカ,1.0,1,酢,×,1,c,203,,0,0,Deuce,0,1
165,1,201902ロッテルダム,スタン・ワウリンカ,1.0,1,酢,×,1,c,188,Ac,0,15,Ad,0,1
166,2,201902ロッテルダム,スタン・ワウリンカ,1.0,1,酢,×,1,c,,,0,30,Deuce,0,1
167,3,201902ロッテルダム,スタン・ワウリンカ,1.0,1,酢,×,2,w,162,,0,40,Ad,0,1
168,4,201902ロッテルダム,スタン・ワウリンカ,1.0,2,圭,○,1,c,190,,0,0,Deuce,1,0
169,5,201902ロッテルダム,スタン・ワウリンカ,1.0,2,圭,×,1,c,179,,15,0,Ad,0,1
170,6,201902ロッテルダム,スタン・ワウリンカ,1.0,2,圭,○,1,b,177,,15,15,Deuce,1,0
171,7,201902ロッテルダム,スタン・ワウリンカ,1.0,2,圭,○,1,w,177,,30,15,Ad,1,0
172,8,201902ロッテルダム,スタン・ワウリンカ,1.0,2,圭,×,1,c,163,,40,15,Deuce,0,1
173,9,201902ロッテルダム,スタン・ワウリンカ,1.0,2,圭,×,1,w,180,,40,30,Ad,0,1
174,10,201902ロッテルダム,スタン・ワウリンカ,1.0,2,圭,×,1,w,,,40,40,Deuce,0,1
175,11,201902ロッテルダム,スタン・ワウリンカ,1.0,2,圭,×,2,c,139,,40,Ad,Ad,0,1
176,42,201902ロッテルダム,スタン・ワウリンカ,1.0,3,酢,×,1,w,172,,0,0,Deuce,0,1
177,43,201902ロッテルダム,スタン・ワウリンカ,1.0,3,酢,×,1,w,,,0,15,Ad,0,1
178,44,201902ロッテルダム,スタン・ワウリンカ,1.0,3,酢,○,2,w,153,,0,30,Deuce,1,0
179,45,201902ロッテルダム,スタン・ワウリンカ,1.0,3,酢,○,1,c,,,15,30,Ad,1,0
180,46,201902ロッテルダム,スタン・ワウリンカ,1.0,3,酢,×,1,w,156,,30,30,Deuce,0,1
181,47,201902ロッテルダム,スタン・ワウリンカ,1.0,3,酢,×,1,w,,,30,40,Ad,0,1
182,48,201902ロッテルダム,スタン・ワウリンカ,1.0,4,圭,○,1,w,,,0,0,Deuce,1,0
183,49,201902ロッテルダム,スタン・ワウリンカ,1.0,4,圭,○,2,c,145,,15,0,Ad,1,0
184,50,201902ロッテルダム,スタン・ワウリンカ,1.0,4,圭,×,1,w,150,,30,0,Deuce,0,1
185,51,201902ロッテルダム,スタン・ワウリンカ,1.0,4,圭,×,1,c,178,,30,15,Ad,0,1
186,52,201902ロッテルダム,スタン・ワウリンカ,1.0,4,圭,×,1,c,186,,30,30,Deuce,0,1
187,53,201902ロッテルダム,スタン・ワウリンカ,1.0,4,圭,○,1,w,163,,30,40,Ad,1,0
188,54,201902ロッテルダム,スタン・ワウリンカ,1.0,4,圭,×,1,w,189,,40,40,Deuce,0,1
189,55,201902ロッテルダム,スタン・ワウリンカ,1.0,4,圭,×,1,w,,,40,Ad,Ad,0,1
190,82,201902ロッテルダム,スタン・ワウリンカ,1.0,5,酢,○,1,c,,,0,0,Deuce,1,0
191,83,201902ロッテルダム,スタン・ワウリンカ,1.0,5,酢,○,2,c,144,,15,0,Ad,1,0
192,84,201902ロッテルダム,スタン・ワウリンカ,1.0,5,酢,×,1,w,159,,30,0,Deuce,0,1
193,85,201902ロッテルダム,スタン・ワウリンカ,1.0,5,酢,×,1,w,182,,30,15,Ad,0,1
194,86,201902ロッテルダム,スタン・ワウリンカ,1.0,5,酢,○,1,w,,,30,30,Deuce,1,0
195,87,201902ロッテルダム,スタン・ワウリンカ,1.0,5,酢,×,2,c,176,,40,30,Ad,0,1
196,88,201902ロッテルダム,スタン・ワウリンカ,1.0,5,酢,○,1,c,,,40,40,Deuce,1,0
197,89,201902ロッテルダム,スタン・ワウリンカ,1.0,5,酢,○,2,w,,,Ad,40,Ad,1,0
198,124,201902ロッテルダム,スタン・ワウリンカ,1.0,6,圭,○,1,w,,,0,0,Deuce,1,0
199,125,201902ロッテルダム,スタン・ワウリンカ,1.0,6,圭,×,2,w,152,,15,0,Ad,0,1
200,126,201902ロッテルダム,スタン・ワウリンカ,1.0,6,圭,×,1,c,170,,15,15,Deuce,0,1
201,127,201902ロッテルダム,スタン・ワウリンカ,1.0,6,圭,×,1,c,182,,15,30,Ad,0,1
202,128,201902ロッテルダム,スタン・ワウリンカ,1.0,6,圭,○,1,c,,,15,40,Deuce,1,0
203,129,201902ロッテルダム,スタン・ワウリンカ,1.0,6,圭,○,2,w,145,,30,40,Ad,1,0
204,130,201902ロッテルダム,スタン・ワウリンカ,1.0,6,圭,○,1,w,163,,40,40,Deuce,1,0
205,131,201902ロッテルダム,スタン・ワウリンカ,1.0,6,圭,×,1,w,186,,Ad,40,Ad,0,1
206,178,201902ロッテルダム,スタン・ワウリンカ,1.0,7,酢,×,1,w,179,,0,0,Deuce,0,1
207,179,201902ロッテルダム,スタン・ワウリンカ,1.0,7,酢,×,1,w,,,0,15,Ad,0,1
208,180,201902ロッテルダム,スタン・ワウリンカ,1.0,7,酢,○,2,w,155,,0,30,Deuce,1,0
209,181,201902ロッテルダム,スタン・ワウリンカ,1.0,7,酢,×,1,c,,,15,30,Ad,0,1
210,182,201902ロッテルダム,スタン・ワウリンカ,1.0,7,酢,×,2,c,161,,15,40,Deuce,0,1
211,232,201902ロッテルダム,スタン・ワウリンカ,1.0,8,圭,×,1,w,168,,0,0,Deuce,0,1
212,233,201902ロッテルダム,スタン・ワウリンカ,1.0,8,圭,○,1,w,187,,0,15,Ad,1,0
213,234,201902ロッテルダム,スタン・ワウリンカ,1.0,8,圭,×,1,b,168,,15,15,Deuce,0,1
214,235,201902ロッテルダム,スタン・ワウリンカ,1.0,8,圭,○,1,c,176,,15,30,Ad,1,0
215,236,201902ロッテルダム,スタン・ワウリンカ,1.0,8,圭,○,1,c,,,30,30,Deuce,1,0
216,237,201902ロッテルダム,スタン・ワウリンカ,1.0,8,圭,×,2,c,144,,40,30,Ad,0,1
217,238,201902ロッテルダム,スタン・ワウリンカ,1.0,8,圭,×,1,w,,,40,40,Deuce,0,1
218,239,201902ロッテルダム,スタン・ワウリンカ,1.0,8,圭,×,2,w,141,,40,Ad,Ad,0,1
219,0,201902ロッテルダム,スタン・ワウリンカ,2.0,1,酢,○,1,w,183,,0,0,Deuce,1,0
220,1,201902ロッテルダム,スタン・ワウリンカ,2.0,1,酢,×,1,c,197,,15,0,Ad,0,1
221,2,201902ロッテルダム,スタン・ワウリンカ,2.0,1,酢,○,1,w,,,15,15,Deuce,1,0
222,3,201902ロッテルダム,スタン・ワウリンカ,2.0,1,酢,×,2,c,155,,30,15,Ad,0,1
223,4,201902ロッテルダム,スタン・ワウリンカ,2.0,1,酢,○,1,c,195,,30,30,Deuce,1,0
224,5,201902ロッテルダム,スタン・ワウリンカ,2.0,1,酢,×,1,b,205,,40,30,Ad,0,1
225,6,201902ロッテルダム,スタン・ワウリンカ,2.0,1,酢,○,1,w,,,40,40,Deuce,1,0
226,7,201902ロッテルダム,スタン・ワウリンカ,2.0,1,酢,×,2,w,163,,Ad,40,Ad,0,1
227,20,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,×,1,w,168,,0,0,Deuce,0,1
228,21,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,×,1,c,,,0,15,Ad,0,1
229,22,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,○,2,w,146,,0,30,Deuce,1,0
230,23,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,×,1,w,,,15,30,Ad,0,1
231,24,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,○,2,c,146,,15,40,Deuce,1,0
232,25,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,○,1,w,,,30,40,Ad,1,0
233,26,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,×,2,w,,,40,40,Deuce,0,1
234,27,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,○,1,w,,,40,Ad,Ad,1,0
234,27,201902ロッテルダム,スタン・ワウリンカ,2.0,2,圭,○,1,w,,,Ad,40,Ad,1,0
235,48,201902ロッテルダム,スタン・ワウリンカ,2.0,3,酢,○,1,c,199,,0,0,Deuce,1,0
236,49,201902ロッテルダム,スタン・ワウリンカ,2.0,3,酢,○,1,w,,,15,0,Ad,1,0
237,50,201902ロッテルダム,スタン・ワウリンカ,2.0,3,酢,○,2,b,158,,30,0,Deuce,1,0
238,51,201902ロッテルダム,スタン・ワウリンカ,2.0,3,酢,×,1,c,,,40,0,Ad,0,1
239,52,201902ロッテルダム,スタン・ワウリンカ,2.0,3,酢,○,2,b,159,,40,15,Deuce,1,0
240,77,201902ロッテルダム,スタン・ワウリンカ,2.0,4,圭,○,1,c,191,,0,0,Deuce,1,0
241,78,201902ロッテルダム,スタン・ワウリンカ,2.0,4,圭,○,1,w,180,,15,0,Ad,1,0
242,79,201902ロッテルダム,スタン・ワウリンカ,2.0,4,圭,×,1,b,171,,30,0,Deuce,0,1
243,80,201902ロッテルダム,スタン・ワウリンカ,2.0,4,圭,×,1,w,,,30,15,Ad,0,1
244,81,201902ロッテルダム,スタン・ワウリンカ,2.0,4,圭,○,2,b,156,,30,30,Deuce,1,0
245,82,201902ロッテルダム,スタン・ワウリンカ,2.0,4,圭,○,1,c,,,40,30,Ad,1,0
246,113,201902ロッテルダム,スタン・ワウリンカ,2.0,5,酢,×,1,c,197,,0,0,Deuce,0,1
247,114,201902ロッテルダム,スタン・ワウリンカ,2.0,5,酢,×,1,c,186,,0,15,Ad,0,1
248,115,201902ロッテルダム,スタン・ワウリンカ,2.0,5,酢,×,1,c,194,,0,30,Deuce,0,1
249,116,201902ロッテルダム,スタン・ワウリンカ,2.0,5,酢,×,1,c,179,,0,40,Ad,0,1
250,151,201902ロッテルダム,スタン・ワウリンカ,2.0,6,圭,○,1,w,,,0,0,Deuce,1,0
251,152,201902ロッテルダム,スタン・ワウリンカ,2.0,6,圭,×,2,c,152,,15,0,Ad,0,1
252,153,201902ロッテルダム,スタン・ワウリンカ,2.0,6,圭,○,1,w,,,15,15,Deuce,1,0
253,154,201902ロッテルダム,スタン・ワウリンカ,2.0,6,圭,○,2,w,145,,30,15,Ad,1,0
254,155,201902ロッテルダム,スタン・ワウリンカ,2.0,6,圭,×,1,c,,,40,15,Deuce,0,1
