2,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201903インディアンウェルズ,フベルト・フルカッチ,1.0,1,満,○,1,w,,,0,0,Deuce,1,0
1,1,201903インディアンウェルズ,フベルト・フルカッチ,1.0,1,満,×,2,b,144,,15,0,Ad,0,1
2,2,201903インディアンウェルズ,フベルト・フルカッチ,1.0,1,満,○,1,w,207,,15,15,Deuce,1,0
3,3,201903インディアンウェルズ,フベルト・フルカッチ,1.0,1,満,×,1,w,181,,30,15,Ad,0,1
4,4,201903インディアンウェルズ,フベルト・フルカッチ,1.0,1,満,×,1,w,210,,30,30,Deuce,0,1
5,5,201903インディアンウェルズ,フベルト・フルカッチ,1.0,1,満,×,1,c,,,30,40,Ad,0,1
6,7,201903インディアンウェルズ,フベルト・フルカッチ,1.0,1,満,×,2,b,144,,40,Ad,Ad,0,1
7,12,201903インディアンウェルズ,フベルト・フルカッチ,1.0,2,圭,○,1,b,172,,0,0,Deuce,1,0
8,13,201903インディアンウェルズ,フベルト・フルカッチ,1.0,2,圭,○,1,w,164,,15,0,Ad,1,0
9,14,201903インディアンウェルズ,フベルト・フルカッチ,1.0,2,圭,○,1,c,,,30,0,Deuce,1,0
10,15,201903インディアンウェルズ,フベルト・フルカッチ,1.0,2,圭,○,2,c,154,,40,0,Ad,1,0
11,26,201903インディアンウェルズ,フベルト・フルカッチ,1.0,3,満,○,1,w,,,0,0,Deuce,1,0
12,27,201903インディアンウェルズ,フベルト・フルカッチ,1.0,3,満,×,2,c,,Dc,15,0,Ad,0,1
13,28,201903インディアンウェルズ,フベルト・フルカッチ,1.0,3,満,○,1,c,199,Ac,15,15,Deuce,1,0
14,29,201903インディアンウェルズ,フベルト・フルカッチ,1.0,3,満,×,1,w,,,30,15,Ad,0,1
15,30,201903インディアンウェルズ,フベルト・フルカッチ,1.0,3,満,○,2,b,151,,30,30,Deuce,1,0
16,31,201903インディアンウェルズ,フベルト・フルカッチ,1.0,3,満,○,1,c,189,,40,30,Ad,1,0
17,48,201903インディアンウェルズ,フベルト・フルカッチ,1.0,4,圭,×,1,c,181,,0,0,Deuce,0,1
18,49,201903インディアンウェルズ,フベルト・フルカッチ,1.0,4,圭,○,1,c,185,,0,15,Ad,1,0
19,50,201903インディアンウェルズ,フベルト・フルカッチ,1.0,4,圭,○,1,c,,,15,15,Deuce,1,0
20,51,201903インディアンウェルズ,フベルト・フルカッチ,1.0,4,圭,○,2,c,146,,30,15,Ad,1,0
21,52,201903インディアンウェルズ,フベルト・フルカッチ,1.0,4,圭,○,1,c,173,,40,15,Deuce,1,0
22,74,201903インディアンウェルズ,フベルト・フルカッチ,1.0,5,満,×,1,w,,,0,0,Deuce,0,1
23,75,201903インディアンウェルズ,フベルト・フルカッチ,1.0,5,満,×,2,c,148,,0,15,Ad,0,1
24,76,201903インディアンウェルズ,フベルト・フルカッチ,1.0,5,満,×,1,w,,,0,30,Deuce,0,1
25,77,201903インディアンウェルズ,フベルト・フルカッチ,1.0,5,満,○,2,w,141,,0,40,Ad,1,0
26,103,201903インディアンウェルズ,フベルト・フルカッチ,1.0,6,圭,○,1,c,173,,0,0,Deuce,1,0
27,104,201903インディアンウェルズ,フベルト・フルカッチ,1.0,6,圭,○,1,w,149,,15,0,Ad,1,0
28,105,201903インディアンウェルズ,フベルト・フルカッチ,1.0,6,圭,○,1,w,151,,30,0,Deuce,1,0
29,106,201903インディアンウェルズ,フベルト・フルカッチ,1.0,6,圭,×,1,w,189,,40,0,Ad,0,1
30,107,201903インディアンウェルズ,フベルト・フルカッチ,1.0,6,圭,×,1,w,164,,40,15,Deuce,0,1
31,108,201903インディアンウェルズ,フベルト・フルカッチ,1.0,6,圭,○,1,b,168,,40,30,Ad,1,0
32,140,201903インディアンウェルズ,フベルト・フルカッチ,1.0,7,満,×,1,w,165,,0,0,Deuce,0,1
33,141,201903インディアンウェルズ,フベルト・フルカッチ,1.0,7,満,○,1,w,,,0,15,Ad,1,0
34,142,201903インディアンウェルズ,フベルト・フルカッチ,1.0,7,満,○,2,w,143,,15,15,Deuce,1,0
35,143,201903インディアンウェルズ,フベルト・フルカッチ,1.0,7,満,×,1,w,,,30,15,Ad,0,1
36,144,201903インディアンウェルズ,フベルト・フルカッチ,1.0,7,満,×,2,c,146,,30,30,Deuce,0,1
37,145,201903インディアンウェルズ,フベルト・フルカッチ,1.0,7,満,×,1,w,157,,30,40,Ad,0,1
38,183,201903インディアンウェルズ,フベルト・フルカッチ,1.0,8,圭,×,1,w,,,0,0,Deuce,0,1
39,184,201903インディアンウェルズ,フベルト・フルカッチ,1.0,8,圭,○,2,c,,,0,15,Ad,1,0
40,185,201903インディアンウェルズ,フベルト・フルカッチ,1.0,8,圭,○,1,c,,,15,15,Deuce,1,0
41,186,201903インディアンウェルズ,フベルト・フルカッチ,1.0,8,圭,○,2,b,152,,30,15,Ad,1,0
42,187,201903インディアンウェルズ,フベルト・フルカッチ,1.0,8,圭,○,1,b,165,,40,15,Deuce,1,0
43,230,201903インディアンウェルズ,フベルト・フルカッチ,1.0,9,満,×,1,c,199,,0,0,Deuce,0,1
44,231,201903インディアンウェルズ,フベルト・フルカッチ,1.0,9,満,×,1,w,193,Aw,0,15,Ad,0,1
45,232,201903インディアンウェルズ,フベルト・フルカッチ,1.0,9,満,×,1,c,,,0,30,Deuce,0,1
46,233,201903インディアンウェルズ,フベルト・フルカッチ,1.0,9,満,×,2,w,151,,0,40,Ad,0,1
47,280,201903インディアンウェルズ,フベルト・フルカッチ,1.0,10,圭,×,1,b,181,,0,0,Deuce,0,1
48,281,201903インディアンウェルズ,フベルト・フルカッチ,1.0,10,圭,○,1,w,188,,0,15,Ad,1,0
49,282,201903インディアンウェルズ,フベルト・フルカッチ,1.0,10,圭,○,1,w,,,15,15,Deuce,1,0
50,283,201903インディアンウェルズ,フベルト・フルカッチ,1.0,10,圭,○,2,w,152,,30,15,Ad,1,0
51,284,201903インディアンウェルズ,フベルト・フルカッチ,1.0,10,圭,×,1,w,,,40,15,Deuce,0,1
52,285,201903インディアンウェルズ,フベルト・フルカッチ,1.0,10,圭,○,2,w,146,,40,30,Ad,1,0
53,0,201903インディアンウェルズ,フベルト・フルカッチ,2.0,1,満,○,1,b,151,,0,0,Deuce,1,0
54,1,201903インディアンウェルズ,フベルト・フルカッチ,2.0,1,満,×,1,w,199,Aw,15,0,Ad,0,1
55,2,201903インディアンウェルズ,フベルト・フルカッチ,2.0,1,満,×,1,c,,,15,15,Deuce,0,1
56,3,201903インディアンウェルズ,フベルト・フルカッチ,2.0,1,満,×,1,w,,,15,30,Ad,0,1
57,4,201903インディアンウェルズ,フベルト・フルカッチ,2.0,1,満,×,2,b,138,,15,40,Deuce,0,1
58,10,201903インディアンウェルズ,フベルト・フルカッチ,2.0,2,圭,○,1,w,165,,0,0,Deuce,1,0
59,11,201903インディアンウェルズ,フベルト・フルカッチ,2.0,2,圭,○,1,w,172,,15,0,Ad,1,0
60,12,201903インディアンウェルズ,フベルト・フルカッチ,2.0,2,圭,○,1,w,165,,30,0,Deuce,1,0
61,13,201903インディアンウェルズ,フベルト・フルカッチ,2.0,2,圭,○,1,c,,,40,0,Ad,1,0
62,23,201903インディアンウェルズ,フベルト・フルカッチ,2.0,3,満,×,1,w,172,,0,0,Deuce,0,1
63,24,201903インディアンウェルズ,フベルト・フルカッチ,2.0,3,満,×,1,c,,,0,15,Ad,0,1
64,25,201903インディアンウェルズ,フベルト・フルカッチ,2.0,3,満,×,2,w,144,,0,30,Deuce,0,1
65,26,201903インディアンウェルズ,フベルト・フルカッチ,2.0,3,満,×,1,w,173,,0,40,Ad,0,1
66,40,201903インディアンウェルズ,フベルト・フルカッチ,2.0,4,圭,×,1,w,160,,0,0,Deuce,0,1
67,41,201903インディアンウェルズ,フベルト・フルカッチ,2.0,4,圭,○,1,w,,,0,15,Ad,1,0
68,42,201903インディアンウェルズ,フベルト・フルカッチ,2.0,4,圭,○,2,b,151,,15,15,Deuce,1,0
69,43,201903インディアンウェルズ,フベルト・フルカッチ,2.0,4,圭,○,1,c,188,,30,15,Ad,1,0
70,44,201903インディアンウェルズ,フベルト・フルカッチ,2.0,4,圭,○,1,c,,,40,15,Deuce,1,0
