3,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
360,0,201907ウィンブルドン,ロジャー・フェデラー,1.0,1,炉,×,1,w,178,,0,0,Deuce,0,1
361,1,201907ウィンブルドン,ロジャー・フェデラー,1.0,1,炉,○,1,c,,,0,15,Ad,1,0
362,2,201907ウィンブルドン,ロジャー・フェデラー,1.0,1,炉,○,2,w,156,,15,15,Deuce,1,0
363,3,201907ウィンブルドン,ロジャー・フェデラー,1.0,1,炉,○,1,c,196,,30,15,Ad,1,0
364,4,201907ウィンブルドン,ロジャー・フェデラー,1.0,1,炉,○,1,w,,,40,15,Deuce,1,0
365,10,201907ウィンブルドン,ロジャー・フェデラー,1.0,2,圭,○,1,b,,,0,0,Deuce,1,0
366,11,201907ウィンブルドン,ロジャー・フェデラー,1.0,2,圭,○,2,c,157,,15,0,Ad,1,0
367,12,201907ウィンブルドン,ロジャー・フェデラー,1.0,2,圭,○,1,w,168,,30,0,Deuce,1,0
368,13,201907ウィンブルドン,ロジャー・フェデラー,1.0,2,圭,×,1,c,,,40,0,Ad,0,1
369,14,201907ウィンブルドン,ロジャー・フェデラー,1.0,2,圭,×,2,w,156,,40,15,Deuce,0,1
370,15,201907ウィンブルドン,ロジャー・フェデラー,1.0,2,圭,○,1,w,185,,40,30,Ad,1,0
371,27,201907ウィンブルドン,ロジャー・フェデラー,1.0,3,炉,○,1,c,,,0,0,Deuce,1,0
372,28,201907ウィンブルドン,ロジャー・フェデラー,1.0,3,炉,○,1,c,,,15,0,Ad,1,0
373,29,201907ウィンブルドン,ロジャー・フェデラー,1.0,3,炉,○,2,b,151,,30,0,Deuce,1,0
374,30,201907ウィンブルドン,ロジャー・フェデラー,1.0,3,炉,×,1,w,168,,40,0,Ad,0,1
375,31,201907ウィンブルドン,ロジャー・フェデラー,1.0,3,炉,×,1,c,193,,40,15,Deuce,0,1
376,32,201907ウィンブルドン,ロジャー・フェデラー,1.0,3,炉,×,1,w,183,,40,30,Ad,0,1
377,33,201907ウィンブルドン,ロジャー・フェデラー,1.0,3,炉,×,1,w,183,,40,40,Deuce,0,1
378,34,201907ウィンブルドン,ロジャー・フェデラー,1.0,3,炉,×,1,w,181,,40,Ad,Ad,0,1
379,56,201907ウィンブルドン,ロジャー・フェデラー,1.0,4,圭,○,1,c,,,0,0,Deuce,1,0
380,57,201907ウィンブルドン,ロジャー・フェデラー,1.0,4,圭,×,2,b,157,,15,0,Ad,0,1
381,58,201907ウィンブルドン,ロジャー・フェデラー,1.0,4,圭,×,1,b,189,,15,15,Deuce,0,1
382,59,201907ウィンブルドン,ロジャー・フェデラー,1.0,4,圭,○,1,w,165,,15,30,Ad,1,0
383,60,201907ウィンブルドン,ロジャー・フェデラー,1.0,4,圭,○,1,c,,,30,30,Deuce,1,0
384,61,201907ウィンブルドン,ロジャー・フェデラー,1.0,4,圭,○,2,w,144,,40,30,Ad,1,0
385,88,201907ウィンブルドン,ロジャー・フェデラー,1.0,5,炉,×,1,c,196,,0,0,Deuce,0,1
386,89,201907ウィンブルドン,ロジャー・フェデラー,1.0,5,炉,○,1,w,,,0,15,Ad,1,0
387,90,201907ウィンブルドン,ロジャー・フェデラー,1.0,5,炉,○,2,c,177,,15,15,Deuce,1,0
388,91,201907ウィンブルドン,ロジャー・フェデラー,1.0,5,炉,×,1,c,,,30,15,Ad,0,1
389,92,201907ウィンブルドン,ロジャー・フェデラー,1.0,5,炉,○,2,c,,Dc,30,30,Deuce,1,0
390,93,201907ウィンブルドン,ロジャー・フェデラー,1.0,5,炉,×,1,w,,,40,30,Ad,0,1
391,94,201907ウィンブルドン,ロジャー・フェデラー,1.0,5,炉,×,2,c,168,,40,40,Deuce,0,1
392,95,201907ウィンブルドン,ロジャー・フェデラー,1.0,5,炉,○,1,c,191,,40,Ad,Ad,1,0
393,134,201907ウィンブルドン,ロジャー・フェデラー,1.0,6,圭,○,1,c,181,,0,0,Deuce,1,0
394,135,201907ウィンブルドン,ロジャー・フェデラー,1.0,6,圭,×,1,c,,,15,0,Ad,0,1
395,136,201907ウィンブルドン,ロジャー・フェデラー,1.0,6,圭,○,2,w,149,,15,15,Deuce,1,0
396,137,201907ウィンブルドン,ロジャー・フェデラー,1.0,6,圭,○,1,b,165,,30,15,Ad,1,0
397,138,201907ウィンブルドン,ロジャー・フェデラー,1.0,6,圭,×,1,c,,,40,15,Deuce,0,1
398,139,201907ウィンブルドン,ロジャー・フェデラー,1.0,6,圭,×,2,c,162,,40,30,Ad,0,1
