5,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
131,0,201907ウィンブルドン,ミハエル・ククシュキン,1.0,1,圭,×,2,,,,0,0,Deuce,0,1
132,1,201907ウィンブルドン,ミハエル・ククシュキン,1.0,1,圭,○,1,c,159,,0,15,Ad,1,0
133,2,201907ウィンブルドン,ミハエル・ククシュキン,1.0,1,圭,○,1,c,,,15,15,Deuce,1,0
134,3,201907ウィンブルドン,ミハエル・ククシュキン,1.0,1,圭,○,2,c,148,,30,15,Ad,1,0
135,4,201907ウィンブルドン,ミハエル・ククシュキン,1.0,1,圭,×,2,w,138,,40,15,Deuce,0,1
136,5,201907ウィンブルドン,ミハエル・ククシュキン,1.0,1,圭,×,1,w,185,,40,30,Ad,0,1
137,6,201907ウィンブルドン,ミハエル・ククシュキン,1.0,1,圭,○,1,b,,,40,40,Deuce,1,0
138,7,201907ウィンブルドン,ミハエル・ククシュキン,1.0,1,圭,○,2,b,159,,Ad,40,Ad,1,0
139,16,201907ウィンブルドン,ミハエル・ククシュキン,1.0,2,九,○,1,c,,,0,0,Deuce,1,0
140,17,201907ウィンブルドン,ミハエル・ククシュキン,1.0,2,九,×,2,c,156,,15,0,Ad,0,1
141,18,201907ウィンブルドン,ミハエル・ククシュキン,1.0,2,九,×,2,w,140,,15,15,Deuce,0,1
142,19,201907ウィンブルドン,ミハエル・ククシュキン,1.0,2,九,○,1,w,,,15,30,Ad,1,0
143,20,201907ウィンブルドン,ミハエル・ククシュキン,1.0,2,九,×,2,c,136,,30,30,Deuce,0,1
144,21,201907ウィンブルドン,ミハエル・ククシュキン,1.0,2,九,×,1,c,172,,30,40,Ad,0,1
145,36,201907ウィンブルドン,ミハエル・ククシュキン,1.0,3,圭,×,1,c,,,0,0,Deuce,0,1
146,37,201907ウィンブルドン,ミハエル・ククシュキン,1.0,3,圭,○,2,c,159,,0,15,Ad,1,0
147,38,201907ウィンブルドン,ミハエル・ククシュキン,1.0,3,圭,○,1,w,185,,15,15,Deuce,1,0
148,39,201907ウィンブルドン,ミハエル・ククシュキン,1.0,3,圭,○,1,c,188,,30,15,Ad,1,0
149,40,201907ウィンブルドン,ミハエル・ククシュキン,1.0,3,圭,×,1,b,188,,40,15,Deuce,0,1
150,41,201907ウィンブルドン,ミハエル・ククシュキン,1.0,3,圭,○,1,c,,,40,30,Ad,1,0
151,62,201907ウィンブルドン,ミハエル・ククシュキン,1.0,4,九,○,1,w,,,0,0,Deuce,1,0
152,63,201907ウィンブルドン,ミハエル・ククシュキン,1.0,4,九,○,2,w,167,,15,0,Ad,1,0
153,64,201907ウィンブルドン,ミハエル・ククシュキン,1.0,4,九,×,1,w,183,,30,0,Deuce,0,1
154,65,201907ウィンブルドン,ミハエル・ククシュキン,1.0,4,九,×,1,w,177,,30,15,Ad,0,1
155,66,201907ウィンブルドン,ミハエル・ククシュキン,1.0,4,九,×,1,w,181,,30,30,Deuce,0,1
156,67,201907ウィンブルドン,ミハエル・ククシュキン,1.0,4,九,○,1,w,,,30,40,Ad,1,0
157,68,201907ウィンブルドン,ミハエル・ククシュキン,1.0,4,九,○,2,c,144,,40,40,Deuce,1,0
158,69,201907ウィンブルドン,ミハエル・ククシュキン,1.0,4,九,×,1,w,180,,Ad,40,Ad,0,1
159,102,201907ウィンブルドン,ミハエル・ククシュキン,1.0,5,圭,×,1,c,191,,0,0,Deuce,0,1
160,103,201907ウィンブルドン,ミハエル・ククシュキン,1.0,5,圭,×,1,c,,,0,15,Ad,0,1
161,104,201907ウィンブルドン,ミハエル・ククシュキン,1.0,5,圭,○,2,c,157,,0,30,Deuce,1,0
162,105,201907ウィンブルドン,ミハエル・ククシュキン,1.0,5,圭,○,1,c,,,15,30,Ad,1,0
163,106,201907ウィンブルドン,ミハエル・ククシュキン,1.0,5,圭,×,2,b,151,,30,30,Deuce,0,1
