3,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,201908全米オープン,アレックス・デ=ミノー,1,0,1,圭,×,1,c,175,,0,0,Deuce,0,1
1,201908全米オープン,アレックス・デ=ミノー,1,0,1,圭,○,1,w,,,0,15,Ad,1,0
2,201908全米オープン,アレックス・デ=ミノー,1,0,1,圭,×,2,w,143,,15,15,Deuce,0,1
3,201908全米オープン,アレックス・デ=ミノー,1,0,1,圭,×,1,c,,,15,30,Ad,0,1
4,201908全米オープン,アレックス・デ=ミノー,1,0,1,圭,○,2,c,138,,15,40,Deuce,1,0
5,201908全米オープン,アレックス・デ=ミノー,1,0,1,圭,×,1,w,168,,30,40,Ad,0,1
12,201908全米オープン,アレックス・デ=ミノー,1,0,2,簑,×,1,w,175,,0,0,Deuce,0,1
13,201908全米オープン,アレックス・デ=ミノー,1,0,2,簑,×,1,b,,,0,15,Ad,0,1
14,201908全米オープン,アレックス・デ=ミノー,1,0,2,簑,○,2,w,140,,0,30,Deuce,1,0
15,201908全米オープン,アレックス・デ=ミノー,1,0,2,簑,×,1,b,202,,15,30,Ad,0,1
16,201908全米オープン,アレックス・デ=ミノー,1,0,2,簑,×,1,c,,,15,40,Deuce,0,1
28,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,×,1,w,170,,0,0,Deuce,0,1
29,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,○,1,c,,,0,15,Ad,1,0
30,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,×,2,w,144,,15,15,Deuce,0,1
31,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,○,1,w,164,,15,30,Ad,1,0
32,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,×,1,c,,,30,30,Deuce,0,1
33,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,○,2,w,140,,30,40,Ad,1,0
34,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,×,1,w,159,,40,40,Deuce,0,1
37,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,×,1,c,,,Ad,40,Ad,0,1
35,201908全米オープン,アレックス・デ=ミノー,1,0,3,圭,○,1,w,,,40,Ad,Ad,1,0
67,201908全米オープン,アレックス・デ=ミノー,1,0,4,簑,○,1,w,,,0,0,Deuce,1,0
68,201908全米オープン,アレックス・デ=ミノー,1,0,4,簑,×,2,c,152,,15,0,Ad,0,1
69,201908全米オープン,アレックス・デ=ミノー,1,0,4,簑,○,1,c,173,,15,15,Deuce,1,0
70,201908全米オープン,アレックス・デ=ミノー,1,0,4,簑,×,1,b,,,30,15,Ad,0,1
71,201908全米オープン,アレックス・デ=ミノー,1,0,4,簑,○,2,c,159,,30,30,Deuce,1,0
102,201908全米オープン,アレックス・デ=ミノー,1,0,5,圭,○,1,c,173,,0,0,Deuce,1,0
103,201908全米オープン,アレックス・デ=ミノー,1,0,5,圭,○,1,b,168,,15,0,Ad,1,0
104,201908全米オープン,アレックス・デ=ミノー,1,0,5,圭,○,1,c,,,30,0,Deuce,1,0
105,201908全米オープン,アレックス・デ=ミノー,1,0,5,圭,○,2,c,148,,40,0,Ad,1,0
140,201908全米オープン,アレックス・デ=ミノー,1,0,6,簑,○,1,c,,,0,0,Deuce,1,0
141,201908全米オープン,アレックス・デ=ミノー,1,0,6,簑,×,1,w,,,15,0,Ad,0,1
142,201908全米オープン,アレックス・デ=ミノー,1,0,6,簑,×,1,b,,,15,15,Deuce,0,1
143,201908全米オープン,アレックス・デ=ミノー,1,0,6,簑,○,2,w,138,,15,30,Ad,1,0
144,201908全米オープン,アレックス・デ=ミノー,1,0,6,簑,×,1,c,193,,30,30,Deuce,0,1
145,201908全米オープン,アレックス・デ=ミノー,1,0,6,簑,×,1,c,188,,30,40,Ad,0,1
186,201908全米オープン,アレックス・デ=ミノー,1,0,7,圭,×,1,c,186,,0,0,Deuce,0,1
187,201908全米オープン,アレックス・デ=ミノー,1,0,7,圭,×,1,c,,,0,15,Ad,0,1
188,201908全米オープン,アレックス・デ=ミノー,1,0,7,圭,×,2,c,143,,0,30,Deuce,0,1
189,201908全米オープン,アレックス・デ=ミノー,1,0,7,圭,×,1,c,,,0,40,Ad,0,1
234,201908全米オープン,アレックス・デ=ミノー,1,0,8,簑,○,1,c,,,0,0,Deuce,1,0
235,201908全米オープン,アレックス・デ=ミノー,1,0,8,簑,○,2,c,152,,15,0,Ad,1,0
236,201908全米オープン,アレックス・デ=ミノー,1,0,8,簑,○,1,c,,,30,0,Deuce,1,0
237,201908全米オープン,アレックス・デ=ミノー,1,0,8,簑,×,2,b,148,,40,0,Ad,0,1
238,201908全米オープン,アレックス・デ=ミノー,1,0,8,簑,×,1,w,160,,40,15,Deuce,0,1
239,201908全米オープン,アレックス・デ=ミノー,1,0,8,簑,×,1,w,,,40,30,Ad,0,1
240,201908全米オープン,アレックス・デ=ミノー,1,0,8,簑,×,2,w,151,,40,40,Deuce,0,1
241,201908全米オープン,アレックス・デ=ミノー,1,0,8,簑,×,1,w,160,,40,Ad,Ad,0,1
0,201908全米オープン,アレックス・デ=ミノー,2,0,1,圭,×,1,w,,,0,0,Deuce,0,1
1,201908全米オープン,アレックス・デ=ミノー,2,0,1,圭,○,2,c,140,,0,15,Ad,1,0
2,201908全米オープン,アレックス・デ=ミノー,2,0,1,圭,×,1,c,162,,15,15,Deuce,0,1
3,201908全米オープン,アレックス・デ=ミノー,2,0,1,圭,○,1,w,,,15,30,Ad,1,0
4,201908全米オープン,アレックス・デ=ミノー,2,0,1,圭,×,1,w,,,30,30,Deuce,0,1
5,201908全米オープン,アレックス・デ=ミノー,2,0,1,圭,○,2,w,112,,30,40,Ad,1,0
6,201908全米オープン,アレックス・デ=ミノー,2,0,1,圭,×,1,c,,,40,40,Deuce,0,1
7,201908全米オープン,アレックス・デ=ミノー,2,0,1,圭,×,2,c,133,,40,Ad,Ad,0,1
16,201908全米オープン,アレックス・デ=ミノー,2,0,2,簑,×,1,w,167,,0,0,Deuce,0,1
17,201908全米オープン,アレックス・デ=ミノー,2,0,2,簑,×,1,b,,,0,15,Ad,0,1
18,201908全米オープン,アレックス・デ=ミノー,2,0,2,簑,×,2,b,141,,0,30,Deuce,0,1
19,201908全米オープン,アレックス・デ=ミノー,2,0,2,簑,×,1,c,197,,0,40,Ad,0,1
32,201908全米オープン,アレックス・デ=ミノー,2,0,3,圭,○,1,w,,,0,0,Deuce,1,0
33,201908全米オープン,アレックス・デ=ミノー,2,0,3,圭,○,2,c,151,,15,0,Ad,1,0
34,201908全米オープン,アレックス・デ=ミノー,2,0,3,圭,×,1,w,,,30,0,Deuce,0,1
35,201908全米オープン,アレックス・デ=ミノー,2,0,3,圭,○,2,w,136,,30,15,Ad,1,0
36,201908全米オープン,アレックス・デ=ミノー,2,0,3,圭,×,1,c,191,,40,15,Deuce,0,1
37,201908全米オープン,アレックス・デ=ミノー,2,0,3,圭,○,2,c,151,,40,30,Ad,1,0
56,201908全米オープン,アレックス・デ=ミノー,2,0,4,簑,×,1,c,188,,0,0,Deuce,0,1
57,201908全米オープン,アレックス・デ=ミノー,2,0,4,簑,○,1,w,,,0,15,Ad,1,0
58,201908全米オープン,アレックス・デ=ミノー,2,0,4,簑,×,2,w,148,,15,15,Deuce,0,1
59,201908全米オープン,アレックス・デ=ミノー,2,0,4,簑,○,1,w,,,15,30,Ad,1,0
60,201908全米オープン,アレックス・デ=ミノー,2,0,4,簑,×,2,c,151,,30,30,Deuce,0,1
61,201908全米オープン,アレックス・デ=ミノー,2,0,4,簑,○,1,c,173,,30,40,Ad,1,0
62,201908全米オープン,アレックス・デ=ミノー,2,0,4,簑,×,1,c,185,,40,40,Deuce,0,1
63,201908全米オープン,アレックス・デ=ミノー,2,0,4,簑,×,1,b,157,,40,Ad,Ad,0,1
90,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,○,1,c,170,,0,0,Deuce,1,0
91,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,○,1,c,172,,15,0,Ad,1,0
92,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,○,1,w,154,,30,0,Deuce,1,0
93,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,×,1,w,125,,40,0,Ad,0,1
94,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,×,1,b,,,40,15,Deuce,0,1
95,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,×,2,d,,,40,30,Ad,0,1
96,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,×,1,w,167,,40,40,Deuce,0,1
97,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,○,1,w,156,,40,Ad,Ad,1,0
99,201908全米オープン,アレックス・デ=ミノー,2,0,5,圭,×,1,w,138,,Ad,40,Ad,0,1
144,201908全米オープン,アレックス・デ=ミノー,2,0,6,簑,×,1,w,178,,0,0,Deuce,0,1
145,201908全米オープン,アレックス・デ=ミノー,2,0,6,簑,×,1,c,,,0,15,Ad,0,1
146,201908全米オープン,アレックス・デ=ミノー,2,0,6,簑,×,2,w,138,,0,30,Deuce,0,1
147,201908全米オープン,アレックス・デ=ミノー,2,0,6,簑,○,1,w,188,,0,40,Ad,1,0
148,201908全米オープン,アレックス・デ=ミノー,2,0,6,簑,○,1,w,,,15,40,Deuce,1,0
149,201908全米オープン,アレックス・デ=ミノー,2,0,6,簑,○,2,w,140,,30,40,Ad,1,0
150,201908全米オープン,アレックス・デ=ミノー,2,0,6,簑,×,1,w,167,,40,40,Deuce,0,1
151,201908全米オープン,アレックス・デ=ミノー,2,0,6,簑,×,1,c,,,40,Ad,Ad,0,1
200,201908全米オープン,アレックス・デ=ミノー,2,0,7,圭,○,1,w,,,0,0,Deuce,1,0
201,201908全米オープン,アレックス・デ=ミノー,2,0,7,圭,×,2,w,146,,15,0,Ad,0,1
202,201908全米オープン,アレックス・デ=ミノー,2,0,7,圭,○,1,c,,,15,15,Deuce,1,0
203,201908全米オープン,アレックス・デ=ミノー,2,0,7,圭,×,2,w,133,,30,15,Ad,0,1
